sentence_id	sentence	target	category	polarity	category_polarity	entailed	start	end
1004293:0	Judging from previous posts this used to be a good place , but not any longer .	place	restaurant general	negative	restaurant general negative	yes	11	12
1004293:0	Judging from previous posts this used to be a good place , but not any longer .	place	restaurant general	positive	restaurant general positive	no	0	0
1004293:0	Judging from previous posts this used to be a good place , but not any longer .	place	restaurant general	neutral	restaurant general neutral	no	0	0
1004293:1	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	staff	service general	negative	service general negative	yes	20	21
1004293:1	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	staff	service general	positive	service general positive	no	0	0
1004293:1	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	staff	service general	neutral	service general neutral	no	0	0
1004293:2	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	NULL	service general	negative	service general negative	yes	0	0
1004293:2	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	NULL	service general	positive	service general positive	no	0	0
1004293:2	They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	NULL	service general	neutral	service general neutral	no	0	0
1004293:3	The food was lousy - too sweet or too salty and the portions tiny .	food	food quality	negative	food quality negative	yes	2	3
1004293:3	The food was lousy - too sweet or too salty and the portions tiny .	food	food quality	positive	food quality positive	no	0	0
1004293:3	The food was lousy - too sweet or too salty and the portions tiny .	food	food quality	neutral	food quality neutral	no	0	0
1004293:3	The food was lousy - too sweet or too salty and the portions tiny .	portions	food style_options	negative	food style_options negative	yes	13	14
1004293:3	The food was lousy - too sweet or too salty and the portions tiny .	portions	food style_options	positive	food style_options positive	no	0	0
1004293:3	The food was lousy - too sweet or too salty and the portions tiny .	portions	food style_options	neutral	food style_options neutral	no	0	0
1004293:4	After all that , they complained to me about the small tip .	NULL	service general	negative	service general negative	yes	0	0
1004293:4	After all that , they complained to me about the small tip .	NULL	service general	positive	service general positive	no	0	0
1004293:4	After all that , they complained to me about the small tip .	NULL	service general	neutral	service general neutral	no	0	0
1004293:5	Avoid this place !	place	restaurant general	negative	restaurant general negative	yes	3	4
1004293:5	Avoid this place !	place	restaurant general	positive	restaurant general positive	no	0	0
1004293:5	Avoid this place !	place	restaurant general	neutral	restaurant general neutral	no	0	0
1014458:0	I have eaten at Saul , many times , the food is always consistently , outrageously good .	food	food quality	negative	food quality negative	no	0	0
1014458:0	I have eaten at Saul , many times , the food is always consistently , outrageously good .	food	food quality	positive	food quality positive	yes	11	12
1014458:0	I have eaten at Saul , many times , the food is always consistently , outrageously good .	food	food quality	neutral	food quality neutral	no	0	0
1014458:1	Saul is the best restaurant on Smith Street and in Brooklyn .	Saul	restaurant general	negative	restaurant general negative	no	0	0
1014458:1	Saul is the best restaurant on Smith Street and in Brooklyn .	Saul	restaurant general	positive	restaurant general positive	yes	1	2
1014458:1	Saul is the best restaurant on Smith Street and in Brooklyn .	Saul	restaurant general	neutral	restaurant general neutral	no	0	0
1014458:2	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	foie gras terrine with figs	food quality	negative	food quality negative	no	0	0
1014458:2	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	foie gras terrine with figs	food quality	positive	food quality positive	yes	9	14
1014458:2	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	foie gras terrine with figs	food quality	neutral	food quality neutral	no	0	0
1014458:2	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	duck confit	food quality	negative	food quality negative	no	0	0
